fq_name,count
android.os.StatFs,6
java.lang.reflect.InvocationTargetException,44
java.io.PrintWriter,45
java.io.StringWriter,76
java.io.Writer,29
java.net.NetworkInterface,3
java.net.SocketException,9
android.content.res.Configuration,140
android.graphics.Point,23
android.graphics.Rect,189
android.hardware.display.DisplayManager,14
android.util.DisplayMetrics,54
android.view.Display,3
android.view.Surface,7
android.view.WindowManager,151
android.media.MediaCodecInfo,1
android.media.MediaCodecList,1
android.app.job.JobInfo,13
android.app.job.JobScheduler,12
java.lang.annotation.Inherited,12
android.content.ContentProvider,17
android.content.ContentValues,81
android.database.Cursor,66
android.database.MatrixCursor,9
android.provider.OpenableColumns,6
android.webkit.MimeTypeMap,29
java.io.FileNotFoundException,96
java.util.regex.Pattern,163
java.lang.ref.WeakReference,137
java.util.concurrent.Future,34
java.io.BufferedOutputStream,7
java.io.OutputStream,114
java.net.HttpURLConnection,143
java.net.SocketTimeoutException,26
java.security.GeneralSecurityException,9
java.util.zip.GZIPOutputStream,11
javax.net.ssl.HttpsURLConnection,13
javax.net.ssl.SSLContext,22
javax.net.ssl.TrustManagerFactory,17
androidx.annotation.RawRes,14
java.net.MalformedURLException,22
java.security.KeyStore,31
java.io.BufferedInputStream,17
java.security.KeyStoreException,3
java.security.NoSuchAlgorithmException,9
java.security.cert.CertificateException,15
java.security.cert.CertificateFactory,11
java.net.InetAddress,92
java.net.Socket,55
java.net.UnknownHostException,56
javax.net.ssl.SSLSocket,40
javax.net.ssl.SSLSocketFactory,34
android.content.ActivityNotFoundException,52
androidx.annotation.DrawableRes,224
androidx.annotation.StyleRes,27
com.faendir.kotlin.autodsl.AutoDslRequired,1
android.app.AlertDialog,24
android.content.DialogInterface,183
android.text.InputType,40
android.util.TypedValue,108
android.widget.EditText,120
android.widget.LinearLayout,246
android.widget.ScrollView,29
android.widget.TextView,718
androidx.annotation.CallSuper,48
androidx.annotation.WorkerThread,52
androidx.annotation.StringRes,343
androidx.core.app.RemoteInput,2
com.gh0u1l5.wechatmagician.spellbook.C,2
com.gh0u1l5.wechatmagician.spellbook.WechatGlobal.wxClasses,1
com.gh0u1l5.wechatmagician.spellbook.WechatGlobal.wxLazy,2
com.gh0u1l5.wechatmagician.spellbook.WechatGlobal.wxLoader,1
com.gh0u1l5.wechatmagician.spellbook.WechatGlobal.wxPackageName,1
com.gh0u1l5.wechatmagician.spellbook.util.ReflectionUtil.findClassesFromPackage,1
de.robv.android.xposed.XposedBridge,4
com.gh0u1l5.wechatmagician.spellbook.util.ReflectionUtil.findMethodsByExactParameters,1
java.lang.reflect.Method,96
com.gh0u1l5.wechatmagician.spellbook.base.Hooker,1
com.gh0u1l5.wechatmagician.spellbook.base.HookerProvider,1
de.robv.android.xposed.XC_MethodHook,1
com.gh0u1l5.wechatmagician.spellbook.interfaces.IMessageStorageHook,1
de.robv.android.xposed.XposedHelpers,1
com.gh0u1l5.wechatmagician.spellbook.SpellBook,1
com.gh0u1l5.wechatmagician.spellbook.util.BasicUtil,1
de.robv.android.xposed.IXposedHookLoadPackage,1
de.robv.android.xposed.callbacks.XC_LoadPackage,1
android.support.v7.app.AppCompatActivity,26
android.support.test.InstrumentationRegistry,13
android.support.test.runner.AndroidJUnit4,19
org.junit.runner.RunWith,1301
javax.inject.Provider,46
java.util.Date,288
kotlin.random.Random,268
java.util.UUID,253
com.thedeanda.lorem.LoremIpsum,1
java.time.Instant,309
java.util.Calendar,140
org.objenesis.Objenesis,1
org.objenesis.ObjenesisStd,5
org.objenesis.instantiator.ObjectInstantiator,5
java.lang.reflect.ParameterizedType,25
kotlin.reflect.KClass,853
kotlin.test.Test,1805
kotlin.test.assertTrue,623
io.mockk.confirmVerified,21
io.mockk.every,747
io.mockk.mockk,872
io.mockk.verify,596
org.junit.After,389
kotlin.test.assertEquals,1684
org.junit.runners.Parameterized,89
org.junit.runners.Suite,5
org.junit.jupiter.api.Assertions.assertEquals,101
kotlin.test.assertNull,283
com.github.benmanes.gradle.versions.updates.DependencyUpdatesTask,13
io.gitlab.arturbosch.detekt.Detekt,15
io.gitlab.arturbosch.detekt.DetektCreateBaselineTask,2
kotlinx.kover.api.KoverTaskExtension,1
kotlin.test.assertNotNull,219
