package,count
io.kotest.assertions,120
io.kotest.core,327
io.kotest.matchers,1081
org.testcontainers,74
dagger.hilt,1070
retrofit2.Retrofit,135
retrofit2.converter,82
dagger.assisted,57
dev,73
androidx.hilt,55
androidx.security,8
androidx.datastore,122
androidx.core.widget,107
androidx.viewbinding,78
com.google.accompanist,106
com.airbnb.lottie,57
retrofit2.Response,124
retrofit2.http,512
androidx.test.platform,272
androidx.test.ext,328
androidx.test.runner,49
com.squareup.moshi,459
androidx.room,1132
com.intellij.AbstractBundle,4
com.cflint,8
com.intellij.coldFusion,1
org.jetbrains.changelog,3
com.intellij.notification,96
org.apache.http,105
com.intellij.vcsUtil,1
git4idea,133
com.palominolabs,7
androidx.appcompat.widget,323
androidx.appcompat.content,131
androidx.appcompat.view,70
androidx.test.filters,159
androidx.test.rule,76
co.appreactor,49
org.koin.core,227
org.koin.androidx,41
org.koin.android,190
com.squareup.picasso,60
androidx.core.text,122
org.koin.dsl,126
org.koin.ksp,1
androidx.core.os,144
androidx.appcompat.graphics,3
androidx.drawerlayout,26
androidx.browser,31
kotlinx.parcelize,167
androidx.core.net,127
com.android.build,294
androidx.vectordrawable,22
kotlin.experimental,32
androidx.core.graphics,240
androidx.core.util,30
androidx.test.core,207
com.caverock,8
org.xmlpull,43
androidx.exifinterface,5
androidx.collection,31
kotlin.LazyThreadSafetyMode,21
org.junit.Assume,72
com.vanniktech,46
kotlinx.validation,3
org.jlleitschuh,2
com.github.ajalt,638
org.kohsuke,23
com.beust,56
com.vdurmont,34
org.reflections,30
io.github.davidburstrom,4
com.pinterest.ktlint.ruleset,104
com.pinterest.ktlint.core,96
org.ec4j,29
org.spekframework,9
io.github.detekt,58
org.gradle.testfixtures,19
org.sonar.api,111
com.sonar,3
org.junit.ClassRule,4
org.sonarqube,7
org.junit.BeforeClass,26
com.felipebz,310
org.hamcrest,1396
com.formdev,1
com.hierynomus,4
org.sonar.check,8
fredboat,82
org.springframework.beans,323
org.springframework.stereotype,317
org.springframework.web,864
org.springframework.http,372
reactor,294
com.sedmelluq.discord,106
org.springframework.boot,726
org.springframework.context,456
com.fredboat,228
it,47
org.springframework.amqp,80
lavalink,26
org.springframework.retry,2
com.sedmelluq.lava,16
com.palantir,14
org.java_websocket,10
org.eclipse.lsp4j,112
kotlin.sequences,10
kotlin.script,78
com.facebook.ktfmt,2
org.jetbrains.java,2
org.junit.AfterClass,16
org,184
androidx.test.espresso,1504
androidx.test.InstrumentationRegistry,13
org.threeten,371
com.google.maps,33
androidx.constraintlayout,224
androidx.databinding,154
timber,469
com.bumptech.glide.Glide,119
com.bumptech.glide.request,110
androidx.transition,47
com.bumptech.glide.load,88
android.transition,22
androidx.slidingpanelayout,5
androidx.core.animation,23
androidx.viewpager,67
com.firebase,39
com.google.ar,2
androidx.startup,24
com.jakewharton.threetenabp,10
com.google.firebase,436
androidx.coordinatorlayout,78
androidx.customview,12
androidx.swiperefreshlayout,23
com.nhaarman.mockito_kotlin,114
androidx.sqlite,66
androidx.benchmark,40
androidx.test.uiautomator,395
com.github.f4b6a3,26
javax.validation,115
org.springframework.transaction,106
net.greypanther,7
org.springframework.data,263
org.springframework.security,203
io.swagger.v3,294
javax.servlet,199
com.jakewharton.byteunits,8
org.hibernate,30
org.springframework.core,159
org.springframework.format,6
org.springframework.validation,11
org.springframework.session,24
org.springdoc,4
org.springframework.ui,7
org.springframework.jms,26
org.springframework.scheduling,15
javax.jms,16
io.micrometer,141
org.apache.activemq,14
org.jooq,226
com.luciad,2
net.coobird,6
org.apache.lucene,90
com.github.gotson,4
com.ibm,68
org.springframework.jdbc,29
org.sqlite,8
javax.sql,30
org.apache.pdfbox,10
com.github.junrar,5
com.ninjasquad,27
org.springframework.test,347
com.tngtech,49
org.springframework.mock,13
org.flywaydb,17
org.apache.tools,23
org.gradle.crypto,3
assertk,191
krangl,2
org.javamoney,5
cleargl,1
com.github.kittinunf,175
coil.ImageLoader,25
coil.compose,36
coil.decode,25
coil.size,18
com.twitter,23
io.noties,21
org.commonmark,19
com.journeyapps,10
kotlinx.android.extensions,5
androidx.cardview,29
io.horizontalsystems.marketkit,277
io.reactivex.Observable,229
io.reactivex.disposables,252
io.reactivex.schedulers,99
io.reactivex.subjects,183
io.reactivex.BackpressureStrategy,27
io.reactivex.Flowable,50
com.walletconnect,12
io.horizontalsystems.ethereumkit,152
io.reactivex.plugins,13
com.trustwallet,31
cash,38
io.horizontalsystems.bitcoincore,28
io.reactivex.Single,131
io.horizontalsystems.dashkit,3
io.horizontalsystems.erc20kit,10
io.horizontalsystems.binancechainkit,9
io.horizontalsystems.bitcoinkit,2
io.horizontalsystems.litecoinkit,2
io.horizontalsystems.hodler,11
io.horizontalsystems.bitcoincash,3
io.horizontalsystems.oneinchkit,16
io.horizontalsystems.uniswapkit,17
io.horizontalsystems.tor,3
io.reactivex.android,94
