name,threshhold1,threshhold2,precision0,recall0,f1-score0,support0,precision1,recall1,f1-score1,support1,accuracy,macro avg,weighted avg
tag#hacktoberfest,0.034459974616765976,0.12379492819309235,0.9621026894865525,0.9632802937576499,0.9626911314984709,817,0.09090909090909091,0.08823529411764706,0.08955223880597016,34,0.9283196239717979,0.5261216851522205,0.9278066163967729
tag#java,0.012670675292611122,0.39299941062927246,0.9832535885167464,0.9844311377245509,0.9838420107719928,835,0.13333333333333333,0.125,0.12903225806451615,16,0.9682726204465335,0.5564371344182545,0.9677703820489382
tag#jupyter-notebook,0.04820181429386139,0.34651854634284973,0.9892344497607656,0.9904191616766467,0.9898264512268105,835,0.4666666666666667,0.4375,0.45161290322580644,16,0.9800235017626322,0.7207196772263085,0.9797072775863687
tag#keras,0.010582773946225643,0.44553127884864807,0.9880382775119617,0.9892215568862276,0.9886295631358468,835,0.4,0.375,0.38709677419354843,16,0.9776733254994124,0.6878631686646977,0.9773198984788823
tag#kotlin,0.2252437323331833,0.49672967195510864,0.9801242236024845,0.9813432835820896,0.9807333747669359,804,0.6739130434782609,0.6595744680851063,0.6666666666666667,47,0.963572267920094,0.8237000207168013,0.9633877398894827
tag#linux,0.03459331765770912,0.12698529660701752,0.9745762711864406,0.9757575757575757,0.9751665657177467,825,0.2,0.19230769230769232,0.19607843137254902,26,0.9518213866039953,0.5856224985451479,0.9513636379939217
tag#machine-learning,0.07002028077840805,0.28261059522628784,0.9474358974358974,0.9486521181001284,0.9480436177036562,779,0.43661971830985913,0.4305555555555556,0.43356643356643354,72,0.9048178613396005,0.6908050256350449,0.9045155833230687
tag#natural-language-processing,0.02460940182209015,0.09399561583995819,0.9844311377245509,0.9856115107913669,0.9850209706411025,834,0.25,0.23529411764705882,0.24242424242424243,17,0.9706227967097533,0.6137226065326724,0.9701864884088033
tag#nlp,0.059668730944395065,0.17950868606567383,0.9794188861985472,0.9806060606060606,0.9800121138703816,825,0.36,0.34615384615384615,0.35294117647058826,26,0.9612220916568742,0.6664766451704849,0.9608536598487663
tag#python,0.38848447799682617,0.4544583559036255,0.7166666666666667,0.7179962894248608,0.717330861909175,539,0.5112540192926045,0.5096153846153846,0.5104333868378812,312,0.6415981198589894,0.6138821243735282,0.6414765584752812
tag#python3,0.05070117861032486,0.13224077224731445,0.9478908188585607,0.9490683229813665,0.9484792054624457,805,0.08888888888888889,0.08695652173913043,0.0879120879120879,46,0.9024676850763808,0.5181956466872668,0.9019620639732372
tag#pytorch,0.16505689918994904,0.5089598298072815,0.9793438639125152,0.9805352798053528,0.9799392097264438,822,0.42857142857142855,0.41379310344827586,0.42105263157894735,29,0.9612220916568742,0.7004959206526955,0.9608937211644257
tag#scikit-learn,0.032016098499298096,0.2921338677406311,0.98531211750306,0.9865196078431373,0.9859154929577466,816,0.6764705882352942,0.6571428571428571,0.6666666666666666,35,0.972972972972973,0.8262910798122066,0.9727854002195707
tag#security,0.017266662791371346,0.09405380487442017,0.9709443099273608,0.9721212121212122,0.9715324046032707,825,0.08,0.07692307692307693,0.0784313725490196,26,0.9447708578143361,0.5249818885761451,0.9442461216027883
tag#telegram,0.03403683751821518,0.21315497159957886,0.9879951980792316,0.9891826923076923,0.9885885885885886,832,0.5,0.47368421052631576,0.4864864864864865,19,0.9776733254994124,0.7375375375375375,0.9773783183888941
tag#tensorflow,0.08611144870519638,0.30525365471839905,0.9663341645885287,0.9675405742821473,0.9669369931378666,801,0.46938775510204084,0.46,0.46464646464646464,50,0.9377203290246768,0.7157917288921656,0.9374252112053518
