project_name,import
2dust#v2rayNG,androidx.appcompat.app.AppCompatActivity
2dust#v2rayNG,android.view.MenuItem
2dust#v2rayNG,android.Manifest
2dust#v2rayNG,android.content.Intent
2dust#v2rayNG,android.net.Uri
2dust#v2rayNG,android.net.VpnService
2dust#v2rayNG,android.os.Bundle
2dust#v2rayNG,com.google.android.material.navigation.NavigationView
2dust#v2rayNG,androidx.core.view.GravityCompat
2dust#v2rayNG,androidx.appcompat.app.ActionBarDrawerToggle
2dust#v2rayNG,androidx.recyclerview.widget.LinearLayoutManager
2dust#v2rayNG,androidx.recyclerview.widget.ItemTouchHelper
2dust#v2rayNG,android.text.TextUtils
2dust#v2rayNG,android.util.Log
2dust#v2rayNG,android.view.KeyEvent
2dust#v2rayNG,android.view.Menu
2dust#v2rayNG,android.view.MenuItem
2dust#v2rayNG,android.widget.Toast
2dust#v2rayNG,androidx.activity.result.contract.ActivityResultContracts
2dust#v2rayNG,androidx.activity.viewModels
2dust#v2rayNG,com.tbruyelle.rxpermissions.RxPermissions
2dust#v2rayNG,com.tencent.mmkv.MMKV
2dust#v2rayNG,kotlinx.coroutines.Dispatchers
2dust#v2rayNG,kotlinx.coroutines.GlobalScope
2dust#v2rayNG,kotlinx.coroutines.launch
2dust#v2rayNG,libv2ray.Libv2ray
2dust#v2rayNG,me.drakeet.support.toast.ToastCompat
2dust#v2rayNG,rx.Observable
2dust#v2rayNG,rx.android.schedulers.AndroidSchedulers
2dust#v2rayNG,java.util.concurrent.TimeUnit
2dust#v2rayNG,android.os.Bundle
2dust#v2rayNG,android.os.Handler
2dust#v2rayNG,android.os.Looper
2dust#v2rayNG,android.text.method.ScrollingMovementMethod
2dust#v2rayNG,android.view.Menu
2dust#v2rayNG,android.view.MenuItem
2dust#v2rayNG,android.view.View
2dust#v2rayNG,kotlinx.coroutines.Dispatchers
2dust#v2rayNG,kotlinx.coroutines.GlobalScope
2dust#v2rayNG,kotlinx.coroutines.launch
2dust#v2rayNG,java.io.IOException
2dust#v2rayNG,java.util.LinkedHashSet
2dust#v2rayNG,android.os.Bundle
2dust#v2rayNG,androidx.appcompat.app.AlertDialog
2dust#v2rayNG,android.text.TextUtils
2dust#v2rayNG,android.view.Menu
2dust#v2rayNG,android.view.MenuItem
2dust#v2rayNG,android.view.View
2dust#v2rayNG,android.widget
2dust#v2rayNG,com.tencent.mmkv.MMKV
2dust#v2rayNG,android.app.Activity
2dust#v2rayNG,android.os.Bundle
2dust#v2rayNG,android.view.View
2dust#v2rayNG,android.widget.ArrayAdapter
2dust#v2rayNG,android.widget.ListView
2dust#v2rayNG,java.util.ArrayList
2dust#v2rayNG,android.content.Intent
2dust#v2rayNG,android.text.TextUtils
2dust#v2rayNG,android.view.Menu
2dust#v2rayNG,android.view.MenuItem
2dust#v2rayNG,com.google.zxing.WriterException
2dust#v2rayNG,com.tencent.mmkv.MMKV
2dust#v2rayNG,androidx.fragment.app.Fragment
2dust#v2rayNG,androidx.fragment.app.FragmentActivity
2dust#v2rayNG,androidx.viewpager2.adapter.FragmentStateAdapter
2dust#v2rayNG,android.Manifest
2dust#v2rayNG,android.app.Activity
2dust#v2rayNG,android.os.Bundle
2dust#v2rayNG,com.google.zxing.Result
2dust#v2rayNG,me.dm7.barcodescanner.zxing.ZXingScannerView
2dust#v2rayNG,android.content.Intent
2dust#v2rayNG,android.graphics.BitmapFactory
2dust#v2rayNG,android.view.Menu
2dust#v2rayNG,android.view.MenuItem
2dust#v2rayNG,androidx.activity.result.contract.ActivityResultContracts
2dust#v2rayNG,com.google.zxing.BarcodeFormat
2dust#v2rayNG,com.tbruyelle.rxpermissions.RxPermissions
2dust#v2rayNG,android.os.Bundle
2dust#v2rayNG,androidx.appcompat.app.AlertDialog
2dust#v2rayNG,android.text.TextUtils
2dust#v2rayNG,android.view.Menu
2dust#v2rayNG,android.view.MenuItem
2dust#v2rayNG,com.google.gson.Gson
2dust#v2rayNG,com.tencent.mmkv.MMKV
2dust#v2rayNG,android.os.Bundle
2dust#v2rayNG,android.content.Intent
2dust#v2rayNG,android.os.Bundle
2dust#v2rayNG,androidx.preference
2dust#v2rayNG,android.text.TextUtils
2dust#v2rayNG,android.view.View
2dust#v2rayNG,androidx.activity.viewModels
2dust#v2rayNG,android.Manifest
2dust#v2rayNG,android.content
2dust#v2rayNG,com.tbruyelle.rxpermissions.RxPermissions
2dust#v2rayNG,android.os.Bundle
2dust#v2rayNG,androidx.activity.result.contract.ActivityResultContracts
2dust#v2rayNG,android.graphics.Color
2dust#v2rayNG,androidx.recyclerview.widget.RecyclerView
2dust#v2rayNG,android.view.LayoutInflater
2dust#v2rayNG,android.view.View
2dust#v2rayNG,android.view.ViewGroup
2dust#v2rayNG,java.util
2dust#v2rayNG,android.content.Intent
2dust#v2rayNG,android.view.Menu
2dust#v2rayNG,android.view.MenuItem
2dust#v2rayNG,android.os.Bundle
2dust#v2rayNG,androidx.recyclerview.widget.LinearLayoutManager
2dust#v2rayNG,android.content.Intent
2dust#v2rayNG,android.graphics.Color
2dust#v2rayNG,androidx.core.content.ContextCompat
2dust#v2rayNG,androidx.appcompat.app.AlertDialog
2dust#v2rayNG,androidx.recyclerview.widget.RecyclerView
2dust#v2rayNG,android.view.LayoutInflater
2dust#v2rayNG,android.view.View
2dust#v2rayNG,android.view.ViewGroup
2dust#v2rayNG,com.google.gson.Gson
2dust#v2rayNG,com.tencent.mmkv.MMKV
2dust#v2rayNG,rx.Observable
2dust#v2rayNG,rx.android.schedulers.AndroidSchedulers
2dust#v2rayNG,java.util.concurrent.TimeUnit
2dust#v2rayNG,android.animation.Animator
2dust#v2rayNG,android.animation.AnimatorListenerAdapter
2dust#v2rayNG,android.content.Context
2dust#v2rayNG,android.os.Bundle
2dust#v2rayNG,androidx.preference.PreferenceManager
2dust#v2rayNG,androidx.recyclerview.widget.DividerItemDecoration
2dust#v2rayNG,androidx.recyclerview.widget.LinearLayoutManager
2dust#v2rayNG,androidx.recyclerview.widget.RecyclerView
2dust#v2rayNG,android.text.TextUtils
2dust#v2rayNG,android.util.Log
2dust#v2rayNG,android.view.Menu
2dust#v2rayNG,android.view.MenuItem
