project_name,import
39aldo39#DecSyncCC,android.Manifest
39aldo39#DecSyncCC,android.accounts.Account
39aldo39#DecSyncCC,android.accounts.AccountManager
39aldo39#DecSyncCC,android.annotation.SuppressLint
39aldo39#DecSyncCC,android.annotation.TargetApi
39aldo39#DecSyncCC,android.app.Activity
39aldo39#DecSyncCC,android.content
39aldo39#DecSyncCC,android.content.pm.PackageManager
39aldo39#DecSyncCC,android.graphics.Color
39aldo39#DecSyncCC,android.net.Uri
39aldo39#DecSyncCC,android.os.Build
39aldo39#DecSyncCC,android.os.Bundle
39aldo39#DecSyncCC,android.os.PowerManager
39aldo39#DecSyncCC,android.provider.CalendarContract
39aldo39#DecSyncCC,android.provider.CalendarContract.Calendars
39aldo39#DecSyncCC,android.provider.CalendarContract.Events
39aldo39#DecSyncCC,android.provider.ContactsContract.RawContacts
39aldo39#DecSyncCC,android.provider.DocumentsContract
39aldo39#DecSyncCC,android.provider.Settings
39aldo39#DecSyncCC,android.util.Log
39aldo39#DecSyncCC,android.util.TypedValue
39aldo39#DecSyncCC,android.view
39aldo39#DecSyncCC,android.widget
39aldo39#DecSyncCC,androidx.appcompat.app.ActionBarDrawerToggle
39aldo39#DecSyncCC,androidx.appcompat.app.AlertDialog
39aldo39#DecSyncCC,androidx.appcompat.app.AppCompatActivity
39aldo39#DecSyncCC,androidx.appcompat.widget.Toolbar
39aldo39#DecSyncCC,androidx.core.app.ActivityCompat
39aldo39#DecSyncCC,androidx.core.content.ContextCompat
39aldo39#DecSyncCC,at.bitfire.ical4android.AndroidTaskList
39aldo39#DecSyncCC,at.bitfire.ical4android.TaskProvider
39aldo39#DecSyncCC,com.flask.colorpicker.ColorPickerView
39aldo39#DecSyncCC,com.flask.colorpicker.builder.ColorPickerDialogBuilder
39aldo39#DecSyncCC,com.google.android.material.navigation.NavigationView
39aldo39#DecSyncCC,com.google.android.material.snackbar.Snackbar
39aldo39#DecSyncCC,kotlinx.android.synthetic.main.activity_intro_directory
39aldo39#DecSyncCC,kotlinx.android.synthetic.main.collections
39aldo39#DecSyncCC,kotlinx.coroutines
39aldo39#DecSyncCC,kotlinx.serialization.json
39aldo39#DecSyncCC,org.decsync.library
