user,repo
morkovka1337,https://github.com/morkovka1337/C-exercises
morkovka1337,https://github.com/morkovka1337/chatbot-pytorch
morkovka1337,https://github.com/morkovka1337/cpp_excs
morkovka1337,https://github.com/morkovka1337/CSharp_excs
morkovka1337,https://github.com/morkovka1337/CubSpline
morkovka1337,https://github.com/morkovka1337/deep-text-recognition-benchmark
morkovka1337,https://github.com/morkovka1337/detector_with_velocity
morkovka1337,https://github.com/morkovka1337/dev-intensive-2019
morkovka1337,https://github.com/morkovka1337/gst-video-analytics
morkovka1337,https://github.com/morkovka1337/gtest-demo
morkovka1337,https://github.com/morkovka1337/lab2_Num_Met
morkovka1337,https://github.com/morkovka1337/Lab_Num_Met
morkovka1337,https://github.com/morkovka1337/Lab_Num_Met_2
morkovka1337,https://github.com/morkovka1337/Lab_Num_Met_v.6
morkovka1337,https://github.com/morkovka1337/mmdetection
morkovka1337,https://github.com/morkovka1337/mp2-lab1-set
morkovka1337,https://github.com/morkovka1337/mp2-lab2-matrix
morkovka1337,https://github.com/morkovka1337/mp2-lab3-arithmetic
morkovka1337,https://github.com/morkovka1337/mp2-lab4-polinoms
morkovka1337,https://github.com/morkovka1337/mp2-list
morkovka1337,https://github.com/morkovka1337/mp2-practice
morkovka1337,https://github.com/morkovka1337/multidimensional_data_processing
morkovka1337,https://github.com/morkovka1337/NMs2_Iter_method
morkovka1337,https://github.com/morkovka1337/numeric_methods_lab_4
morkovka1337,https://github.com/morkovka1337/num_meth_system
morkovka1337,https://github.com/morkovka1337/openmp
morkovka1337,https://github.com/morkovka1337/openvino_practice
morkovka1337,https://github.com/morkovka1337/openvino_training_extensions
morkovka1337,https://github.com/morkovka1337/open_model_zoo
morkovka1337,https://github.com/morkovka1337/ProbLab
morkovka1337,https://github.com/morkovka1337/Python-Exercises
morkovka1337,https://github.com/morkovka1337/radix-sort-on-javaScript
morkovka1337,https://github.com/morkovka1337/tomography_visualazation
Mr-Cool-in-Git,https://github.com/coerry/HelloIoTWorld
Mr-Cool-in-Git,https://github.com/fpiikt/os-1-msinstall-Nikitenok
Mr-Cool-in-Git,https://github.com/Mr-Cool-in-Git/auto-sklearn
Mr-Cool-in-Git,https://github.com/Mr-Cool-in-Git/Auto-sklearn_1.2
Mr-Cool-in-Git,https://github.com/Mr-Cool-in-Git/Barny_Love_the_game
Mr-Cool-in-Git,https://github.com/Mr-Cool-in-Git/data-structures-course
Mr-Cool-in-Git,https://github.com/Mr-Cool-in-Git/FEDOT
Mr-Cool-in-Git,https://github.com/Mr-Cool-in-Git/FEDOT-M
Mr-Cool-in-Git,https://github.com/Mr-Cool-in-Git/first_console_game
Mr-Cool-in-Git,https://github.com/Mr-Cool-in-Git/IFMO_JAVA_Basics_20182009
Mr-Cool-in-Git,https://github.com/Mr-Cool-in-Git/Make_Ripples_the_game
Mr-Cool-in-Git,https://github.com/Mr-Cool-in-Git/MOS.RU-recommender-system
Mr-Cool-in-Git,https://github.com/Mr-Cool-in-Git/networks-science-course
Mr-Cool-in-Git,https://github.com/Mr-Cool-in-Git/Pacman_AI_Course_project
trixdade,https://github.com/AlexeyLiniov/ITLab-2018-QuantumAlgorithms
trixdade,https://github.com/trixdade/Algorithms-and-data-structures
trixdade,https://github.com/trixdade/Clothes-Recommendation
trixdade,https://github.com/trixdade/Computer-Graphics-1
