fq_name,count
com.bumptech,435
androidx.transition,47
android.transition,22
androidx.slidingpanelayout,5
androidx.viewpager,67
com.firebase,39
com.google.ar,2
androidx.startup,24
com.jakewharton,158
com.google.firebase,436
androidx.coordinatorlayout,78
androidx.customview,12
androidx.swiperefreshlayout,23
com.nhaarman,2718
androidx.sqlite,66
androidx.benchmark,40
org.springframework.transaction,106
org.springframework.data,263
org.springframework.security,203
io.swagger,363
org.hibernate,30
org.springframework.core,159
org.springframework.format,6
org.springframework.validation,11
org.springframework.session,24
org.springdoc,4
org.springframework.ui,7
org.springframework.jms,26
org.springframework.scheduling,15
io.micrometer,141
org.jooq,226
com.luciad,2
com.ibm,78
org.springframework.jdbc,29
org.sqlite,8
com.ninjasquad,27
org.springframework.test,347
com.tngtech,49
org.springframework.mock,13
org.flywaydb,17
assertk,191
krangl,2
org.javamoney,5
cleargl,1
coil,263
com.twitter,23
io.noties,21
org.commonmark,19
com.journeyapps,10
androidx.cardview,29
io.horizontalsystems,539
io.reactivex,3513
com.walletconnect,12
com.trustwallet,31
cash,38
androidx.biometric,70
pub.devrel.easypermissions,2
android.security,14
com.opencsv,6
android.R.layout,4
org.kodein,181
org.amshove,351
com.jetbrains,166
com.goide,2
com.intellij.sql,6
com.intellij.application,61
org.jdesktop,5
com.intellij.openapi.startup,10
POGOProtos.Data,4
ink,52
io.netty,467
POGOProtos.Inventory.Item,7
POGOProtos.Enums,5
POGOProtos.Data.PokemonDataOuterClass,1
POGOProtos.Data.Capture,1
POGOProtos.Networking.Responses,15
POGOProtos.Enums.PokemonIdOuterClass,1
type,46
com.aghajari,2
com.trello,8
com.stripe,42
com.braze,9
fragment,5
com.karumi,22
org.mockserver,46
android.arch,36
com.dicedmelon,2
com.jfrog,8
org.jmailen,7
posidon,133
androidx.palette,28
io.posidon,20
com.pixplicity,2
com.thoughtworks,15
com.intellij.openapi.vcs,64
com.mikepenz,289
ru,27
mozilla.components.support,1386
mozilla.components.concept,1033
mozilla.components.browser,1740
mozilla.components.lib,411
mozilla.components.feature,948
mozilla.components.service,449
mozilla.telemetry,111
mozilla.components.ui,42
mozilla.appservices,99
org.mozilla,100
android.accessibilityservice,6
mozilla.components.compose,22
android.speech,12
androidx.interpolator,23
androidx.paging,543
com.adjust,9
android.speech.RecognizerIntent,8
leakcanary,10
tools,95
com.eden,83
strikt,202
clog,54
com.google.inject,78
com.copperleaf,39
org.asciidoctor,15
org.atteo.evo,1
org.python,76
io.bit3.jsass,4
com.moandjiezana,4
org.opentest4j,10
com.intellij.mock,9
org.jetbrains,1
com.google.protobuf,51
io.sentry,30
org.jetbrains.spek,601
com.ericsson,391
gnu,19
com.intellij.lexer,58
com.intellij.compiler,7
com.intellij.platform,13
com.intellij.conversion,8
org.jetbrains.jps,11
com.intellij.refactoring,224
com.intellij.extapi,67
com.intellij.xdebugger,156
com.intellij.diagnostic,11
com.intellij.find,30
com.intellij.patterns,161
com.intellij.spellchecker,37
com.intellij.openapi.observable,28
com.intellij.usages,39
com.intellij.javascript,19
com.intellij.framework,18
TemplateLintUtil.Companion,1
com.dmarcotte,12
com.intellij.json,94
org.jetbrains.yaml,10
com.intellij.xml,9
android.opengl,62
cn,35
javafx,357
org.testfx,2
Stats,1
com.google.api,219
com.google.auth,15
redis,172
com.jayway,74
com.sun,97
io.vertx,42
org.glassfish.tyrus,1
com.canhub,4
androidx.dynamicanimation,7
app,257
com.zlagi,2
com.upokecenter,9
COSE,2
org.bouncycastle,27
com.robinhood,3
Python,4
com.chuckerteam,32
org.brotli,2
autodispose2,19
com.apurebase,12
at,97
Library.Apollo,2
Library.Square,5
Library.Google,22
Library.AndroidX,37
Library.Airbnb,2
Library.KotlinX,5
Library.JavaX,2
Version.Android,1
Version.Apollo,2
Version.Google,8
Version.KotlinX,3
Version.Square,4
Version.Airbnb,1
Version.AndroidX,16
Version.JavaX,2
Plugin.Apollo,1
Plugin.Google,3
Plugin.Square,1
Plugin.Android,1
Plugin.KotlinX,1
graphql,2990
com.tschuchort,11
org.jetbrains.kotlinx,37
com.expediagroup,52
org.dataloader,125
org.springframework.aop,11
org.reactivestreams,112
com.linkedin,33
org.rauschig.jarchivelib,3
com.google.testing,180
com.dd,22
org.fusesource,8
com.google.cloud,22
picocli,95
picocli.CommandLine,63
com.jcabi,10
cucumber.cukeulator,1
io.cucumber.java,1
io.flutter.embedding,1
cocoapods,21
androidx.compose.material3,254
io.iamjosephmj.flinger,3
com.guru,5
com.skydoves,71
androidx.wear.compose,4
j2html,1
j2html.attributes,1
j2html.tags,1
com.avast,4
com.opentable,3
org.h2,2
org.jdom2,21
org.jetbrains.gradle,10
com.intellij.openapi.keymap,7
org.acejump,2
com.intellij.internal,70
org.antlr,35
com.intellij.remoterobot,126
com.automation,4
com.intellij.idea,5
org.jetbrains.jetCheck,28
com.ensarsarajcic,8
jetbrains,434
org.geotools,10
org.opengis.referencing,2
org.locationtech,3
org.opengis.feature,1
org.jire,48
com.badlogic,1069
org.jetbrains.ktor,4
org.jf,1
kotlinx.atomicfu,170
org.testng,103
akka,2
scala,4
io.kotlintest,126
com.pawegio,85
kotterknife,26
com.romancha,2
com.daimajia,4
com.xenomachina,7
io.qameta,60
org.influxdb,28
com.influxdb,19
com.bugsnag,7
org.xmlunit,5
com.malinskiy,125
org.skyscreamer.jsonassert,2
org.imgscalr,1
org.springframework.util,42
com.netflix,16
org.springframework.cache,14
freemarker,26
org.funktionale.partials,1
com.f2prateek,12
androidx.emoji,16
com.swordfish,103
com.uber,60
androidx.leanback,96
androidx.tvprovider.media,4
com.gojuno,56
androidx.documentfile,24
android.system,4
com.tamsiree,65
com.readystatesoftware,2
com.orhanobut,3
org.greenrobot,147
com.chad,45
com.yalantis,16
com.afollestad,68
com.esri,27
jp,8
com.alexvasilkov,8
com.chibatching,9
com.getkeepsafe,8
com.serjltt,6
shark,2
com.tickaroo,12
catchup.service.hackernews,3
org.unbescape.java,1
catchup.ui.core,1
com.google.devtools,47
proguard.gradle,1
android.R,15
android.Manifest,10
com.dropbox,53
defer,21
tsstdlib,1
http,710
com.benasher44,26
enum,909
sqli,12
re,636
sample,66
fullstack.tutorial,1
outofbounds,1
codegen,68
root_fragment,1
trivial_fragment_spread,1
trivial_fragment_spread.fragment,1
conditional,10
variables,4
schema,95
idling.resource,1
optimistic,3
optimistic.type,1
nonnull,3
batching,6
circular_cache_read,1
fragment_normalizer.fragment,2
fake_subscription_engine,1
IdCacheKeyGenerator,1
multimodule,4
optional.variables,6
none,1
custom,1
none.type,2
custom.type,2
Utils,1
JapiCmp,1
io.realm,4
io.realm.annotations,1
io.michaelrocks,4
androidx.camera,8
org.bitcoinj,101
org.spongycastle,27
io.intercom,6
org.web3j,24
com.braintreepayments,10
com.checkout,11
zendesk.chat,6
zendesk.messaging,1
siftscience.android,1
exchange,7
store,3
io.embrace.android,1
org.stellar,60
androidx.net,1
androidx.os,2
androidx.view,2
os,3896
guru.nidi.graphviz,9
com.rethinkdb,9
org.elasticsearch,1459
au.com.gridstone,8
com.uwetrottmann,76
android.icu,3
com.pranavpandey,8
com.etebarian,6
com.ogaclejapan,6
pl,65
io.javalin,268
panda,343
software,35
org.tinylog,2
com.unboundid,6
kong,59
com.charleskorn,4
org.kethereum,249
javassist,4
com.blankj,26
cat.ereza.customactivityoncrash,2
com.zhpan,6
com.kingja,26
com.yanzhenjie,15
com.kunminx,2
per.goweii.reveallayout,1
io.gatling,10
jakarta,37
org.jetbrains.concurrency,19
com.intellij.formatting,78
Releasing_main,4
lib_publisher_tools,16
com.soywiz,1737
gg,12
com.codahale,13
org,4
org.thymeleaf,3
nl,116
com.kotcrab,147
io.ipfs,8
org.ligi,111
permission,6
kotlinx.io,128
BinaryCompatibilityConfigurator,4
com.intellij.pom,8
splitties,20
com.ooooonly,4
org.acra,24
org.luaj,9
org.itxtech.miraijs,2
org.jline,19
com.winterbe,51
com.gargoylesoftware,8
com.example,46
androidx.webkit,2
androidx.webkit.WebSettingsCompat,2
org.toml,134
com.siyeh,45
org.jetbrains.idea,4
com.intellij.debugger,17
com.intellij.structuralsearch,2
com.extracraftx,3
org.cadixdev.gradle,2
dalvik,3
org.jetbrains.kotlin.ir,71
org.powermock,73
br,78
com.amazon,68
inet.ipaddr,1
org.osmdroid,27
com.rengwuxian,8
org.conscrypt,10
io.objectbox.android,1
io.objectbox.query,1
com.adevinta,81
mqtt,8
com.smp,4
com.codebutler,23
redux,26
kotlinx.js,4
kotlinext,4
org.reduxkotlin,14
io.jooby,22
io.micronaut,78
Deep_clean,1
org.docopt,1
com.kryptoprefs,10
eu,129
com.osacky,9
com.bnorm,6
csstype,1
arrow,33
com.crashlytics,9
io.fabric,2
jline.console,2
jline.console.completer,2
org.nield.kotlinstatistics,1
curtains,14
com.oracle,6
org.graalvm,6
org.openjsse.sun,2
aQute.bnd.gradle,4
org.openjsse.net,1
com.diffplug,3
zlc,18
com.fredporciuncula,10
logcat,56
uy,219
nucleus,9
com.bluelinelabs,54
reactivecircus,18
com.hippo,14
com.davemorrissey,11
rikka.sui,1
tachiyomi,13
com.pushtorefresh,98
androidx.localbroadcastmanager,5
rikka.shizuku,1
data,341
io.requery.android,1
com.nixxcode,5
org.thymeleaf.context,1
org.thymeleaf.templatemode,1
org.thymeleaf.templateresolver,1
jnr.unixsocket,2
cc.vileda.openapi,12
im.status.keycard,2
org.komputing,36
pm.gnosis,1
org.walletconnect,22
io.trezor,1
io.trezor.deviceprotocol,5
org.ethereum,1
org.ethereum.geth,4
com.cognifide,174
aQute.bnd.osgi,3
org.buildobjects,8
org.osgi.framework,1
com.carlos,54
com.umeng,3
com.natpryce,218
jodd,6
zielu,13
org.decsync,28
org.dmfs,7
com.nononsenseapps,4
ezvcard,1
com.mojang,16
com.labymedia,43
joptsimple.internal,1
com.tang,23
org.scalasbt.ipcsocket,4
StyledElementsFactory,4
org.beryx.textio,2
ktx,159
com.watabou,429
org.jbox2d,10
icons,2
com.intellij.build,37
com.intellij.coverage,19
com.intellij.rt,6
com.intellij.profiler,28
org.jetbrains.grammarkit,2
com.sys1yagi,73
saschpe,3
butterknife,19
com.orgzly,224
com.networknt,4
org.jruby.embed,3
org.jruby.runtime,1
com.atlassian,17
io.atlassian.util,1
org.cyclonedx,2
org.cyclonedx.model,8
org.cyclonedx.parsers,2
com.jcraft,9
org.tmatesoft.svn,14
com.fxn,4
com.russhwolf,7
android.R.attr,1
flow,89
org.jetbrains.compose,64
es.dmoral.toasty,1
org.wordpress.mobile,1
com.automattic,22
com.wordpress,74
org.wordpress.aztec,2
com.tenor,11
zendesk.configurations,1
zendesk.core,4
zendesk.support,2
zendesk.support.request,1
zendesk.support.requestlist,1
com.yarolegovich,3
com.vmadalin,25
io.undertow.server,1
argo.jdom,2
argo.jdom.JsonNodeFactories,7
org.springframework.dao,2
microsoft,3
com.intellij.plugins,3
com.kongpf,10
org.telegram,5
PatchParser,1
org.yatopiamc.yatoclip,3
org.adw.library,1
org.awaitility,18
io.r2dbc,40
com.pacoworks,2
io.paperdb,1
com.sanogueralorenzo,3
com.alecstrong,563
org.jgrapht,1
org.jgrapht.graph,2
org.jgrapht.traverse,1
org.picocontainer,1
ta,179
migrations.app.cash,1
org.dom4j,6
spark,4
org.zalando.problem,5
org.zalando.stups,2
org.zalando.twintip,1
javatools.parsers,1
io.nacular,231
Versions,15
org.hexworks,314
kotlinx.collections,36
Libraries,17
org.mariotaku,1389
io.nayuki,3
org.xbill,1
org.oshkimaadziig,2
org.attoparser,20
androidx.cursoradapter,9
moe,23
org.tensorflow.lite,2
kotliquery,3
com.teknasyon,28
urllib,4531
argparse,649
abc,1156
copy,854
collections,4870
numpy,1720
random,958
math,1318
string,335
distutils,1568
mysql,21
sphinx,533
sqlalchemy,4361
subprocess,1393
parameterized,64
psycopg2,216
datetime,2716
pprint,356
time,1192
setuptools,3282
codecs,179
__future__,2557
pathlib,950
shutil,605
fastecdsa,18
logging,1071
io,1385
itertools,1884
operator,775
scipy,2287
PyQt5,245
PyQt5.QtGui,358
PyQt5.QtWidgets,841
maya_widget,3
openpyxl,123
multiprocessing,1018
sklearn.feature_selection,144
sklearn.linear_model,599
fancyimpute,1
mayavi,9
traits,10
traitsui,5
urllib3,354
urlparse,283
google,1581
django.contrib.auth,2129
cryptography,1037
bitcoinutils,28
tests,165
ctypes,1864
nacl,48
bsddb3,2
Crypto.Cipher,79
tkinter,416
Crypto.Protocol,3
green,15
builtins,230
Crypto.Util,10
StringIO,141
typing,11365
concurrent,582
functools,2326
warnings,264
django,71
django.utils,3379
django.conf,874
binascii,222
timeit,100
crypt,5
nose,243
configparser,207
ConfigParser,92
hashlib,483
django.apps,420
bcryptor,2
auth,86
django.core,3922
django.dispatch,198
pkg_resources,345
types,776
thread,47
dummy_thread,14
base64,452
hmac,16
scrypt,2
struct,174
fastpbkdf2,2
argon2pure,2
bcrypt,12
decimal,371
unittest,2354
sha3,8
Crypto.Hash,42
requests,1328
fcntl,32
array,50
hypothesis,373
dataclasses,701
alg,35
shamir_mnemonic,10
click,396
getpass,121
ast,833
uuid,433
unicodedata,61
bitstring,7
queue,362
threading,943
tzlocal,9
email,853
sys,582
getch,1
KitHack,1
zenipy.zenipy,2
pgrep,1
discord,181
utils,1181
matplotlib,1497
skimage,265
PIL,1121
mpl_toolkits,91
py,2354
sklearn.svm,268
tensorflow.python,1546
BPNN_DATA_Reg,1
sklearn.ensemble,480
prettytable,44
sklearn.metrics,1110
sklearn.tree,175
bs4,378
Wine_Data,1
sklearn.datasets,470
sklearn.cluster,155
sklearn.preprocessing,541
Boston_Data,1
Iris_Data,1
Heart_Data,1
move_to_pose,3
rrt,3
sobol,3
LQRplanner,3
rrt_star,3
dynamic_programming_heuristic,3
car,50
dijkstra_search,3
rrt_star_reeds_shepp,3
grid_map_lib,3
eta3_spline_path,6
quintic_polynomials_planner,3
NLinkArm3d,3
Quadrotor,3
TrajectoryGenerator,3
dateutil,635
paramiko,77
OpenSSL,80
xml,826
knack,101
portalocker,5
automation.utilities,1
automation.verify,4
automation.tests,1
xmlrpc,91
automation,4
docutils,475
packaging,357
importlib,1065
msrestazure,53
msrest,134
argcomplete.completers,2
json,503
jmespath,4
sshtunnel,9
scp,4
argcomplete,7
ipaddress,167
contextlib,1169
websocket,38
fnmatch,111
six,932
shlex,71
colorama,284
msvcrt,6
difflib,110
glob,648
pytest,299
fabric,80
github,181
isodate,3
azure,519
msal,18
OpenSSL.crypto,30
inspect,782
jmespath.exceptions,1
h,500
vcr.errors,1
applicationinsights,17
urllib2,314
automation.utilities.display,3
automation.utilities.path,6
automation.tests.nose_helper,1
pkgutil,75
