,project_name,ext,count
164,zostera#django-bootstrap3,.py,31
165,zostera#django-bootstrap3,.yml,5
166,zostera#django-bootstrap3,.in,1
167,zostera#django-bootstrap3,.txt,2
168,zostera#django-bootstrap3,.sample,12
169,zostera#django-bootstrap3,.html,18
170,zostera#django-bootstrap3,.rst,8
171,saadmk11#github-actions-version-updater,.py,1
172,saadmk11#github-actions-version-updater,.yaml,2
173,saadmk11#github-actions-version-updater,,28
174,saadmk11#github-actions-version-updater,.md,2
175,saadmk11#github-actions-version-updater,.txt,1
176,saadmk11#github-actions-version-updater,.sample,12
177,saadmk11#github-actions-version-updater,.6,1
178,graphql-python#graphene-django,.cfg,3
179,graphql-python#graphene-django,.md,7
180,graphql-python#graphene-django,.ini,1
181,graphql-python#graphene-django,,20
182,graphql-python#graphene-django,.rst,17
183,graphql-python#graphene-django,.in,1
184,graphql-python#graphene-django,.py,159
185,graphql-python#graphene-django,.json,3
186,graphql-python#graphene-django,.txt,3
187,graphql-python#graphene-django,.html,1
188,graphql-python#graphene-django,.js,1
189,graphql-python#graphene-django,.sample,12
190,graphql-python#graphene-django,.pack,1
191,graphql-python#graphene-django,.idx,1
192,graphql-python#graphene-django,.yml,5
193,coqui-ai#TTS,.yaml,3
194,coqui-ai#TTS,.py,302
195,coqui-ai#TTS,,19
196,coqui-ai#TTS,.cfg,1
197,coqui-ai#TTS,.md,37
198,coqui-ai#TTS,.cff,1
199,coqui-ai#TTS,.toml,1
200,coqui-ai#TTS,.sh,8
201,coqui-ai#TTS,.rst,1
202,coqui-ai#TTS,.yml,13
203,coqui-ai#TTS,.in,1
204,coqui-ai#TTS,.txt,7
205,coqui-ai#TTS,.gif,2
206,coqui-ai#TTS,.png,7
207,coqui-ai#TTS,.json,20
208,coqui-ai#TTS,.wav,34
209,coqui-ai#TTS,.dat,1
210,coqui-ai#TTS,.html,3
211,coqui-ai#TTS,.pyx,1
212,coqui-ai#TTS,.ipynb,10
213,coqui-ai#TTS,.sample,12
214,coqui-ai#TTS,.pack,1
215,coqui-ai#TTS,.idx,1
216,coqui-ai#TTS,.bat,1
217,coqui-ai#TTS,.npy,66
218,coqui-ai#TTS,.tsv,1
219,coqui-ai#TTS,.pth,1
220,coqui-ai#TTS,.csv,1
221,ciur#papermerge,.lock,1
222,ciur#papermerge,.md,7
223,ciur#papermerge,.example,1
224,ciur#papermerge,.cfg,1
225,ciur#papermerge,,14
226,ciur#papermerge,.toml,1
227,ciur#papermerge,.py,83
228,ciur#papermerge,.in,1
229,ciur#papermerge,.sh,3
230,ciur#papermerge,.pdf,10
231,ciur#papermerge,.tar,2
232,ciur#papermerge,.hocr,1
233,ciur#papermerge,.jpg,1
234,ciur#papermerge,.txt,8
235,ciur#papermerge,.svg,7
236,ciur#papermerge,.png,14
237,ciur#papermerge,.ico,1
238,ciur#papermerge,.sample,12
239,ciur#papermerge,.pack,1
240,ciur#papermerge,.idx,1
241,ciur#papermerge,.kra,1
242,ciur#papermerge,.yml,3
243,ciur#papermerge,.dockerfile,2
244,electricitymap#electricitymap-contrib,.lock,3
245,electricitymap#electricitymap-contrib,.toml,2
246,electricitymap#electricitymap-contrib,,28
247,electricitymap#electricitymap-contrib,.py,157
248,electricitymap#electricitymap-contrib,.js,66
249,electricitymap#electricitymap-contrib,.md,9
250,electricitymap#electricitymap-contrib,.yml,8
251,electricitymap#electricitymap-contrib,.txt,2
252,electricitymap#electricitymap-contrib,.json,53
253,electricitymap#electricitymap-contrib,.yaml,2
254,electricitymap#electricitymap-contrib,.mjs,1
255,electricitymap#electricitymap-contrib,.xml,2
256,electricitymap#electricitymap-contrib,.webmanifest,1
257,electricitymap#electricitymap-contrib,.html,10
258,electricitymap#electricitymap-contrib,.woff2,2
259,electricitymap#electricitymap-contrib,.ttf,2
260,electricitymap#electricitymap-contrib,.woff,1
261,electricitymap#electricitymap-contrib,.svg,21
262,electricitymap#electricitymap-contrib,.png,1751
263,electricitymap#electricitymap-contrib,.sketch,1
